Date,Susceptible,Exposed,Infected,Recovered,Deaths
2020-05-09,1399.9743712026293,0.0071330957454411,0.009007200251320041,0.009486501374804945,0.002101
2020-05-10,1399.9719418373297,0.007808107868774201,0.009859570045883951,0.010388484756805655,0.002212
2020-05-11,1399.9692825812813,0.008546994764380823,0.010792599368162159,0.01137582458726999,0.002294
2020-05-12,1399.9663716810016,0.009355800274864356,0.01181392062242014,0.012456598102057837,0.002415
2020-05-13,1399.9631853247809,0.0102411400425644,0.012931888334307499,0.013639646843189924,0.002551
2020-05-14,1399.959697447982,0.011210255560798845,0.014155647485216806,0.014934648973036662,0.002649
2020-05-15,1399.9558795199412,0.01227107335346615,0.01549520828136848,0.016352198425198704,0.002753
2020-05-16,1399.9517003106787,0.013432269786605958,0.01696152797807305,0.01790389155757331,0.002871
2020-05-17,1399.9471256355841,0.01470334195879203,0.018566600466920123,0.019602421991403392,0.003025
2020-05-18,1399.9421180761533,0.016094685237252465,0.020323554261893233,0.02146168434887943,0.003156
2020-05-19,1399.9366366732984,0.01761767836911517,0.022246760121455714,0.023496888212559738,0.003302
2020-05-20,1399.932866186973,0.017293626260629334,0.02412100487355724,0.025717181895228966,0.003434
2020-05-21,1399.9288091087858,0.01729226865044665,0.025790377431015525,0.028106245134693238,0.003584
2020-05-22,1399.9244918362408,0.017522726223998437,0.027334902728083255,0.030648534808803758,0.003726
2020-05-23,1399.9199298527801,0.017922809977420028,0.028810402606129562,0.03333493463776191,0.003868
2020-05-24,1399.9151310078903,0.01845011130855754,0.030256057096250354,0.03616082370665217,0.004024
2020-05-25,1399.9100977718524,0.019075864564321986,0.03169961481402335,0.0391247487703114,0.004172
2020-05-26,1399.904828783467,0.019780720785288367,0.03316098285530798,0.04222751289350946,0.004344
2020-05-27,1399.8993199107408,0.02055183737335659,0.034654701010646896,0.04547155087601942,0.004534
2020-05-28,1399.8935649760058,0.021380873885452727,0.03619164782681514,0.04886050228323739,0.004711
2020-05-29,1399.8875562492121,0.022262613162893678,0.03778021664364494,0.052398920982743485,0.00498
2020-05-30,1399.8812847818315,0.023194011795370756,0.03942712783141748,0.05609207854294937,0.005185
2020-05-31,1399.8747406303503,0.024173547299205855,0.04113798970621021,0.05994583264581526,0.005408
2020-06-01,1399.8679130035234,0.025200769486521005,0.04291768659793954,0.06396654039376984,0.005608
2020-06-02,1399.8607903568393,0.02627599250873464,0.04477064794792967,0.06816100270523874,0.005829
2020-06-03,1399.8533604503887,0.027400083663669878,0.04670103568721656,0.07253643026146643,0.006088
2020-06-04,1399.8456103810797,0.028574319261417576,0.048712875100312455,0.07710042455994595,0.006363
